"states","indicators","Unit","Date","Value"
"Nassarawa","RICE (IMPORTED)","","2006",64669
"Nassarawa","MAIZE FLOUR","","2006",11560
"Nassarawa","CASSAVA FLOUR","","2006",73108
"Nassarawa","CASSAVA","","2006",32385
"Nassarawa","Cassava (Akpu)","","2006",474
"Nassarawa","FRUITS (N)","","2006",61236
"Nassarawa","VEGETABLE (N)","","2006",315141
"Nassarawa","Fish fresh","","2006",43564
"Nassarawa","Fish frozen","","2006",30770
"Nassarawa","Dried fish","","2006",164181
"Nassarawa","fried fish","","2006",9530
"Nassarawa","Smoked fish","","2006",3050
"Nassarawa","Bush meat","","2006",3815
"Nassarawa","Other Meat","","2006",20719
"Nassarawa","OTHER ROOT/TUBER","","2006",8710
"Niger","MAIZE (WHITE)","","2006",156060
"Niger","MAIZE (YELLOW)","","2006",8967
"Niger","RICE (LOCAL)","","2006",318097
"Niger","RICE (AGRIC)","","2006",36934
"Niger","RICE (IMPORTED)","","2006",114542
"Niger","MAIZE FLOUR","","2006",2277
"Niger","CASSAVA FLOUR","","2006",21776
"Niger","CASSAVA","","2006",16224
"Niger","Cassava (Akpu)","","2006",1560
"Niger","FRUITS (N)","","2006",49765
"Niger","VEGETABLE (N)","","2006",285419
"Niger","Fish fresh","","2006",48362
"Niger","Fish frozen","","2006",8884
"Niger","Dried fish","","2006",159824
"Niger","fried fish","","2006",10270
"Niger","Smoked fish","","2006",528
"Niger","Bush meat","","2006",12980
"Niger","Other Meat","","2006",40560
"Niger","OTHER ROOT/TUBER","","2006",4135
"Ogun","MAIZE (WHITE)","","2006",29387
"Ogun","MAIZE (YELLOW)","","2006",6648
"Ogun","RICE (LOCAL)","","2006",13202
"Ogun","RICE (AGRIC)","","2006",156515
"Ogun","RICE (IMPORTED)","","2006",98894
"Ogun","MAIZE FLOUR","","2006",9704
"Ogun","CASSAVA FLOUR","","2006",49861
"Ogun","CASSAVA","","2006",17798
"Ogun","Cassava (Akpu)","","2006",525
"Ogun","FRUITS (N)","","2006",35798
"Ogun","VEGETABLE (N)","","2006",291543
"Ogun","Fish fresh","","2006",11570
"Ogun","Fish frozen","","2006",229930
"Ogun","Dried fish","","2006",38234
"Ogun","fried fish","","2006",8261
"Ogun","Smoked fish","","2006",19714
"Ogun","Bush meat","","2006",10638
"Ogun","Other Meat","","2006",59055
"Ogun","OTHER ROOT/TUBER","","2006",1544
"Ondo","MAIZE (WHITE)","","2006",12461
"Ondo","MAIZE (YELLOW)","","2006",5023
"Ondo","RICE (LOCAL)","","2006",16516
"Ondo","RICE (AGRIC)","","2006",62215
"Ondo","RICE (IMPORTED)","","2006",277041
"Ondo","MAIZE FLOUR","","2006",1280
"Ondo","CASSAVA FLOUR","","2006",31147
"Ondo","CASSAVA","","2006",57619
"Ondo","Cassava (Akpu)","","2006",980
"Ondo","FRUITS (N)","","2006",31267
"Ondo","VEGETABLE (N)","","2006",299732
"Ondo","Fish fresh","","2006",149550
"Ondo","Fish frozen","","2006",115142
"Ondo","Dried fish","","2006",163802
"Ondo","fried fish","","2006",4601
"Ondo","Smoked fish","","2006",3306
"Ondo","Bush meat","","2006",22290
"Ondo","Other Meat","","2006",55090
"Ondo","OTHER ROOT/TUBER","","2006",1764
"Osun","MAIZE (WHITE)","","2006",36175
"Osun","MAIZE (YELLOW)","","2006",6346
"Osun","RICE (LOCAL)","","2006",16512
"Osun","RICE (AGRIC)","","2006",85529
"Osun","RICE (IMPORTED)","","2006",156250
"Osun","MAIZE FLOUR","","2006",128559
"Osun","CASSAVA FLOUR","","2006",92905
"Osun","CASSAVA","","2006",11496
"Osun","Cassava (Akpu)","","2006",770
"Osun","FRUITS (N)","","2006",35990
"Osun","VEGETABLE (N)","","2006",240506
"Osun","Fish fresh","","2006",35795
"Osun","Fish frozen","","2006",126731
"Osun","Dried fish","","2006",31171
"Osun","fried fish","","2006",4765
"Osun","Smoked fish","","2006",2110
"Osun","Bush meat","","2006",1818
"Osun","Other Meat","","2006",18195
"Osun","OTHER ROOT/TUBER","","2006",410
"Oyo","MAIZE (WHITE)","","2006",60639
"Oyo","MAIZE (YELLOW)","","2006",12332
"Oyo","RICE (LOCAL)","","2006",9628
"Oyo","RICE (AGRIC)","","2006",77917
"Oyo","RICE (IMPORTED)","","2006",209732
"Oyo","MAIZE FLOUR","","2006",86978
"Oyo","CASSAVA FLOUR","","2006",160794
"Oyo","CASSAVA","","2006",7472
"Oyo","Cassava (Akpu)","","2006",560
"Oyo","FRUITS (N)","","2006",67936
"Oyo","VEGETABLE (N)","","2006",298705
"Oyo","Fish fresh","","2006",58855
"Oyo","Fish frozen","","2006",138334
"Oyo","Dried fish","","2006",54973
"Oyo","fried fish","","2006",7390
"Oyo","Smoked fish","","2006",8115
"Oyo","Bush meat","","2006",14798
"Oyo","Other Meat","","2006",56336
"Oyo","OTHER ROOT/TUBER","","2006",1150
"Plateau","MAIZE (WHITE)","","2006",172130
"Plateau","MAIZE (YELLOW)","","2006",72997
"Plateau","RICE (LOCAL)","","2006",236682
"Plateau","RICE (AGRIC)","","2006",13192
"Plateau","RICE (IMPORTED)","","2006",103393
"Plateau","MAIZE FLOUR","","2006",775
"Plateau","CASSAVA FLOUR","","2006",26547
